PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
1.250000,1.310000,0.160000,0.610000,0.130000,94.750000,6.540000,-0.790000,265.309998,52.439999,55015.109375,35.03,79.78,3.250000,CO,22511
1.150000,1.290000,0.150000,0.520000,0.130000,95.750000,6.070000,-1.530000,266.269989,52.000000,55697.031250,35.06,79.94,3.250000,CO,22512
1.070000,1.200000,0.150000,0.430000,0.130000,93.730003,5.050000,-2.420000,266.239990,58.099998,55909.898438,35.09,80.1,3.250000,CO,22513
5.330000,5.380000,0.120000,0.180000,0.130000,88.199997,3.590000,-3.650000,259.429993,65.639999,49383.718750,35.37,81.56,7.614285,PM2.5,22522
5.920000,5.970000,0.120000,0.180000,0.130000,87.169998,2.750000,-3.760000,260.679993,69.750000,50619.769531,35.4,81.72,8.457143,PM2.5,22523
5.980000,6.030000,0.120000,0.180000,0.130000,88.120003,2.340000,-3.410000,260.989990,72.860001,50984.480469,35.43,81.88,8.542857,PM2.5,22524
5.820000,5.870000,0.110000,0.170000,0.130000,91.099998,2.480000,-3.720000,260.839996,74.290001,50859.589844,35.46,82.05,8.314286,PM2.5,22525
7.670000,7.700000,0.080000,0.150000,0.120000,95.089996,2.180000,-4.120000,264.589996,59.990002,53715.289062,35.63,83.03,10.957143,PM2.5,22531
7.580000,7.600000,0.070000,0.150000,0.120000,96.529999,2.330000,-4.280000,264.959991,58.380001,54046.800781,35.66,83.19,10.828571,PM2.5,22532
6.980000,7.000000,0.070000,0.150000,0.120000,97.930000,2.220000,-3.530000,265.880005,56.020000,54751.449219,35.68,83.35,9.971429,PM2.5,22533
6.490000,6.510000,0.070000,0.150000,0.120000,99.910004,1.680000,-3.050000,266.589996,55.400002,55284.230469,35.71,83.52,9.271428,PM2.5,22534
6.730000,6.750000,0.060000,0.140000,0.120000,101.209999,1.310000,-2.840000,266.670013,56.810001,55292.351562,35.74,83.68,9.614285,PM2.5,22535
6.870000,6.900000,0.060000,0.140000,0.120000,102.300003,1.030000,-2.740000,266.679993,57.189999,55203.398438,35.76,83.85,9.814285,PM2.5,22536
6.790000,6.810000,0.060000,0.140000,0.120000,104.000000,0.930000,-2.140000,266.989990,54.720001,55365.371094,35.79,84.01,9.700000,PM2.5,22537
6.340000,6.350000,0.050000,0.130000,0.120000,105.330002,0.670000,-2.190000,267.130005,53.770000,55407.269531,35.82,84.17,9.057143,PM2.5,22538
6.010000,6.030000,0.050000,0.130000,0.120000,106.919998,0.450000,-2.540000,266.739990,53.360001,54948.808594,35.84,84.34,8.585714,PM2.5,22539
5.780000,5.800000,0.050000,0.130000,0.120000,107.540001,0.430000,-3.010000,266.130005,52.980000,54397.378906,35.87,84.5,8.257143,PM2.5,22540
5.610000,5.630000,0.050000,0.130000,0.120000,106.839996,0.500000,-3.490000,266.149994,49.889999,54369.570312,35.9,84.67,8.014286,PM2.5,22541
