lat,lon,cluster
21.97,111.43,0
21.96,111.57,0
21.95,111.71,0
21.94,111.86,0
21.94,112.0,0
21.93,112.15,0
21.92,112.29,0
21.91,112.43,0
21.9,112.58,0
21.87,113.01,0
21.86,113.15,0
22.14,99.29,0
22.15,99.43,0
22.16,99.58,0
22.16,99.72,0
22.17,99.86,0
22.18,100.01,0
22.18,100.15,0
22.19,100.3,0
22.19,100.44,0
22.2,100.59,0
22.2,100.73,0
22.21,100.88,0
22.21,101.02,0
22.22,101.17,0
22.22,101.31,0
22.23,101.45,0
22.27,106.81,0
22.27,106.95,0
22.26,107.1,0
22.26,107.24,0
22.26,107.39,0
22.26,107.53,0
22.25,107.68,0
22.25,107.82,0
22.25,107.97,0
22.24,108.11,0
22.24,108.26,0
22.23,108.4,0
22.23,108.55,0
22.22,108.69,0
22.22,108.83,0
22.21,108.98,0
22.21,109.12,0
22.2,109.27,0
22.2,109.41,0
22.19,109.56,0
22.19,109.7,0
22.18,109.85,0
22.18,109.99,0
22.17,110.14,0
22.16,110.28,0
22.16,110.42,0
22.15,110.57,0
22.14,110.71,0
22.13,110.86,0
22.13,111.0,0
22.12,111.15,0
22.11,111.29,0
22.1,111.43,0
22.1,111.58,0
22.09,111.72,0
22.08,111.87,0
22.07,112.01,0
22.06,112.16,0
22.05,112.3,0
22.04,112.44,0
22.03,112.59,0
22.02,112.73,0
22.01,112.88,0
21.95,113.74,0
22.28,99.28,0
22.28,99.42,0
22.29,99.57,0
22.3,99.71,0
22.3,99.86,0
22.31,100.0,0
22.32,100.15,0
22.32,100.29,0
22.33,100.44,0
22.33,100.58,0
22.34,100.73,0
22.34,100.87,0
22.35,101.02,0
22.35,101.16,0
22.36,101.3,0
22.36,101.45,0
22.37,101.59,0
22.41,106.67,0
22.4,106.81,0
22.4,106.96,0
22.4,107.1,0
22.4,107.25,0
22.39,107.39,0
22.39,107.54,0
22.39,107.68,0
22.38,107.83,0
22.38,107.97,0
22.38,108.12,0
22.37,108.26,0
22.37,108.41,0
22.36,108.55,0
22.36,108.7,0
22.35,108.84,0
22.35,108.98,0
22.34,109.13,0
22.34,109.27,0
22.33,109.42,0
22.33,109.56,0
22.32,109.71,0
22.32,109.85,0
22.31,110.0,0
22.3,110.14,0
22.3,110.29,0
22.29,110.43,0
22.28,110.58,0
22.28,110.72,0
22.27,110.87,0
22.26,111.01,0
22.25,111.15,0
22.24,111.3,0
22.24,111.44,0
22.23,111.59,0
22.22,111.73,0
22.21,111.88,0
22.2,112.02,0
22.19,112.17,0
22.18,112.31,0
22.18,112.45,0
22.17,112.6,0
22.16,112.74,0
22.15,112.89,0
22.13,113.17,0
22.12,113.32,0
22.42,99.42,0
22.42,99.56,0
22.43,99.71,0
22.44,99.85,0
22.44,100.0,0
22.45,100.14,0
22.46,100.29,0
22.46,100.43,0
22.47,100.57,0
22.47,100.72,0
22.48,100.86,0
