PM2_5,PM10,SO2,NO2,CO,O3,Time
49.060001,117.599998,62.950001,51.770000,1.000000,102.129997,2013-08-20
54.150002,106.250000,48.919998,35.250000,0.770000,167.070007,2013-08-21
116.720001,191.080002,88.910004,55.189999,1.330000,162.820007,2013-08-22
123.239998,209.240005,114.839996,67.769997,1.900000,125.529999,2013-08-23
146.229996,227.350006,108.680000,68.610001,2.230000,94.949997,2013-08-24
72.529999,148.039993,82.529999,58.689999,0.950000,102.410004,2013-08-25
75.980003,147.800003,58.380001,55.320000,0.910000,130.539993,2013-08-26
92.500000,178.869995,59.669998,68.099998,1.130000,133.690002,2013-08-27
61.049999,112.900002,43.040001,32.750000,0.880000,118.500000,2013-08-28
69.889999,130.050003,59.500000,40.160000,1.070000,97.720001,2013-08-29
24.379999,59.150002,52.709999,35.560001,0.680000,63.869999,2013-08-30
32.980000,76.290001,60.590000,57.209999,0.840000,70.239998,2013-08-31
55.279999,122.599998,60.990002,67.160004,0.880000,103.139999,2013-09-01
68.599998,137.330002,53.730000,65.519997,0.950000,123.620003,2013-09-02
81.730003,160.929993,94.559998,78.839996,1.170000,122.279999,2013-09-03
119.150002,213.210007,101.370003,92.760002,1.490000,96.239998,2013-09-04
95.080002,134.169998,68.830002,48.590000,1.020000,85.050003,2013-09-05
61.930000,107.059998,48.099998,45.060001,0.860000,88.860001,2013-09-06
63.869999,121.050003,45.910000,45.520000,0.840000,129.490005,2013-09-07
92.739998,158.630005,49.740002,61.540001,1.060000,90.309998,2013-09-08
79.199997,119.540001,44.020000,53.970001,1.090000,58.820000,2013-09-09
104.690002,164.179993,55.110001,52.490002,1.110000,64.959999,2013-09-10
120.059998,198.570007,88.980003,72.019997,1.870000,96.849998,2013-09-11
146.070007,229.070007,62.689999,48.070000,1.570000,94.339996,2013-09-12
52.500000,97.559998,42.009998,37.320000,0.850000,62.770000,2013-09-13
80.459999,143.929993,53.580002,44.490002,1.380000,102.529999,2013-09-14
111.730003,212.990005,127.669998,79.570000,2.190000,67.699997,2013-09-15
66.250000,119.790001,63.299999,47.500000,1.250000,103.269997,2013-09-16
47.160000,97.389999,55.849998,36.310001,1.070000,135.610001,2013-09-17
47.660000,112.220001,65.430000,55.169998,1.180000,96.779999,2013-09-18
38.560001,78.709999,47.209999,31.309999,1.060000,98.949997,2013-09-19
91.000000,162.500000,98.180000,55.470001,1.500000,95.199997,2013-09-20
199.949997,323.250000,108.250000,76.169998,2.660000,26.049999,2013-09-21
107.290001,170.399994,69.760002,46.400002,1.590000,49.720001,2013-09-22
74.599998,129.830002,49.619999,36.299999,0.990000,32.380001,2013-09-23
19.260000,40.439999,40.630001,26.309999,1.010000,41.060001,2013-09-24
34.020000,86.000000,54.529999,53.410000,1.350000,40.459999,2013-09-25
55.869999,119.660004,77.050003,59.160000,1.770000,55.990002,2013-09-26
87.239998,156.460007,79.050003,45.119999,1.690000,97.820000,2013-09-27
60.700001,99.599998,54.040001,35.189999,1.640000,108.940002,2013-09-28
141.429993,232.509995,106.349998,73.989998,1.870000,86.980003,2013-09-29
140.550003,244.759995,75.349998,86.279999,1.890000,75.000000,2013-09-30
137.309998,219.059998,57.889999,51.820000,1.500000,78.540001,2013-10-01
40.869999,75.449997,52.750000,38.310001,1.120000,53.680000,2013-10-02
62.060001,123.550003,76.290001,55.610001,1.200000,69.639999,2013-10-03
74.230003,135.479996,65.360001,39.439999,1.210000,110.440002,2013-10-04
74.580002,135.190002,101.599998,63.599998,1.400000,96.099998,2013-10-05
76.470001,148.830002,97.169998,76.839996,1.510000,58.570000,2013-10-06
108.849998,203.429993,121.230003,88.019997,1.760000,86.269997,2013-10-07
98.580002,184.449997,129.000000,74.860001,1.850000,40.860001,2013-10-08
132.809998,218.429993,79.360001,56.720001,1.760000,115.199997,2013-10-09
133.759995,274.589996,62.130001,44.980000,1.330000,103.430000,2013-10-10
